sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction
11,7,1,2,0.237635
11,7,1,5,0.762365
11,7,2,2,0.27882
11,7,2,5,0.72118
11,7,3,2,0.27882
11,7,3,5,0.72118
11,7,4,2,0.237635
11,7,4,5,0.762365
11,7,5,2,0.237635
11,7,5,5,0.762365
21,7,1,2,0.237635
21,7,1,5,0.762365
21,7,2,2,0.27882
21,7,2,5,0.72118
21,7,3,2,0.27882
21,7,3,5,0.72118
21,7,4,2,0.237635
21,7,4,5,0.762365
21,7,5,2,0.237635
21,7,5,5,0.762365
31,7,1,2,0.237635
31,7,1,5,0.762365
31,7,2,2,0.27882
31,7,2,5,0.72118
31,7,3,2,0.27882
31,7,3,5,0.72118
31,7,4,2,0.237635
31,7,4,5,0.762365
31,7,5,2,0.237635
31,7,5,5,0.762365
32,7,1,2,0.237635
32,7,1,5,0.762365
32,7,2,2,0.27882
32,7,2,5,0.72118
32,7,3,2,0.27882
32,7,3,5,0.72118
32,7,4,2,0.237635
32,7,4,5,0.762365
32,7,5,2,0.237635
32,7,5,5,0.762365
41,7,1,2,0.237635
41,7,1,5,0.762365
41,7,2,2,0.27882
41,7,2,5,0.72118
41,7,3,2,0.27882
41,7,3,5,0.72118
41,7,4,2,0.237635
41,7,4,5,0.762365
41,7,5,2,0.237635
41,7,5,5,0.762365
42,7,1,2,0.237635
42,7,1,5,0.762365
42,7,2,2,0.27882
42,7,2,5,0.72118
42,7,3,2,0.27882
42,7,3,5,0.72118
42,7,4,2,0.237635
42,7,4,5,0.762365
42,7,5,2,0.237635
42,7,5,5,0.762365
43,7,1,2,0.237635
43,7,1,5,0.762365
43,7,2,2,0.27882
43,7,2,5,0.72118
43,7,3,2,0.27882
43,7,3,5,0.72118
43,7,4,2,0.237635
43,7,4,5,0.762365
43,7,5,2,0.237635
43,7,5,5,0.762365
51,7,1,2,0.237635
51,7,1,5,0.762365
51,7,2,2,0.27882
51,7,2,5,0.72118
51,7,3,2,0.27882
51,7,3,5,0.72118
51,7,4,2,0.237635
51,7,4,5,0.762365
51,7,5,2,0.237635
51,7,5,5,0.762365
52,7,1,2,0.237635
52,7,1,5,0.762365
52,7,2,2,0.27882
52,7,2,5,0.72118
52,7,3,2,0.27882
52,7,3,5,0.72118
52,7,4,2,0.237635
52,7,4,5,0.762365
52,7,5,2,0.237635
52,7,5,5,0.762365
53,7,1,2,0.237635
53,7,1,5,0.762365
53,7,2,2,0.27882
53,7,2,5,0.72118
53,7,3,2,0.27882
53,7,3,5,0.72118
53,7,4,2,0.237635
53,7,4,5,0.762365
53,7,5,2,0.237635
53,7,5,5,0.762365
54,7,1,2,0.237635
54,7,1,5,0.762365
54,7,2,2,0.27882
54,7,2,5,0.72118
54,7,3,2,0.27882
54,7,3,5,0.72118
54,7,4,2,0.237635
54,7,4,5,0.762365
54,7,5,2,0.237635
54,7,5,5,0.762365
61,7,1,2,0.237635
61,7,1,5,0.762365
61,7,2,2,0.27882
61,7,2,5,0.72118
61,7,3,2,0.27882
61,7,3,5,0.72118
61,7,4,2,0.237635
61,7,4,5,0.762365
61,7,5,2,0.237635
61,7,5,5,0.762365
62,7,1,2,0.237635
62,7,1,5,0.762365
62,7,2,2,0.27882
62,7,2,5,0.72118
62,7,3,2,0.27882
62,7,3,5,0.72118
62,7,4,2,0.237635
62,7,4,5,0.762365
62,7,5,2,0.237635
62,7,5,5,0.762365
11,1,1,2,0.237635
11,1,1,5,0.762365
11,1,2,2,0.27882
11,1,2,5,0.72118
11,1,3,2,0.27882
11,1,3,5,0.72118
11,1,4,2,0.237635
11,1,4,5,0.762365
11,1,5,2,0.237635
11,1,5,5,0.762365
21,1,1,2,0.237635
21,1,1,5,0.762365
21,1,2,2,0.27882
21,1,2,5,0.72118
21,1,3,2,0.27882
21,1,3,5,0.72118
21,1,4,2,0.237635
21,1,4,5,0.762365
21,1,5,2,0.237635
21,1,5,5,0.762365
31,1,1,2,0.237635
31,1,1,5,0.762365
31,1,2,2,0.27882
31,1,2,5,0.72118
31,1,3,2,0.27882
31,1,3,5,0.72118
31,1,4,2,0.237635
31,1,4,5,0.762365
31,1,5,2,0.237635
31,1,5,5,0.762365
32,1,1,2,0.237635
32,1,1,5,0.762365
32,1,2,2,0.27882
32,1,2,5,0.72118
32,1,3,2,0.27882
32,1,3,5,0.72118
32,1,4,2,0.237635
32,1,4,5,0.762365
32,1,5,2,0.237635
32,1,5,5,0.762365
41,1,1,2,0.237635
41,1,1,5,0.762365
41,1,2,2,0.27882
41,1,2,5,0.72118
41,1,3,2,0.27882
41,1,3,5,0.72118
41,1,4,2,0.237635
41,1,4,5,0.762365
41,1,5,2,0.237635
41,1,5,5,0.762365
42,1,1,2,0.237635
42,1,1,5,0.762365
42,1,2,2,0.27882
42,1,2,5,0.72118
42,1,3,2,0.27882
42,1,3,5,0.72118
42,1,4,2,0.237635
42,1,4,5,0.762365
42,1,5,2,0.237635
42,1,5,5,0.762365
43,1,1,2,0.237635
43,1,1,5,0.762365
43,1,2,2,0.27882
43,1,2,5,0.72118
43,1,3,2,0.27882
43,1,3,5,0.72118
43,1,4,2,0.237635
43,1,4,5,0.762365
43,1,5,2,0.237635
43,1,5,5,0.762365
51,1,1,2,0.237635
51,1,1,5,0.762365
51,1,2,2,0.27882
51,1,2,5,0.72118
51,1,3,2,0.27882
51,1,3,5,0.72118
51,1,4,2,0.237635
51,1,4,5,0.762365
51,1,5,2,0.237635
51,1,5,5,0.762365
52,1,1,2,0.237635
52,1,1,5,0.762365
52,1,2,2,0.27882
52,1,2,5,0.72118
52,1,3,2,0.27882
52,1,3,5,0.72118
52,1,4,2,0.237635
52,1,4,5,0.762365
52,1,5,2,0.237635
52,1,5,5,0.762365
53,1,1,2,0.237635
53,1,1,5,0.762365
53,1,2,2,0.27882
53,1,2,5,0.72118
53,1,3,2,0.27882
53,1,3,5,0.72118
53,1,4,2,0.237635
53,1,4,5,0.762365
53,1,5,2,0.237635
53,1,5,5,0.762365
54,1,1,2,0.237635
54,1,1,5,0.762365
54,1,2,2,0.27882
54,1,2,5,0.72118
54,1,3,2,0.27882
54,1,3,5,0.72118
54,1,4,2,0.237635
54,1,4,5,0.762365
54,1,5,2,0.237635
54,1,5,5,0.762365
61,1,1,2,0.237635
61,1,1,5,0.762365
61,1,2,2,0.27882
61,1,2,5,0.72118
61,1,3,2,0.27882
61,1,3,5,0.72118
61,1,4,2,0.237635
61,1,4,5,0.762365
61,1,5,2,0.237635
61,1,5,5,0.762365
62,1,1,2,0.237635
62,1,1,5,0.762365
62,1,2,2,0.27882
62,1,2,5,0.72118
62,1,3,2,0.27882
62,1,3,5,0.72118
62,1,4,2,0.237635
62,1,4,5,0.762365
62,1,5,2,0.237635
62,1,5,5,0.762365
11,2,1,2,0.237635
11,2,1,5,0.762365
11,2,2,2,0.27882
11,2,2,5,0.72118
11,2,3,2,0.27882
11,2,3,5,0.72118
11,2,4,2,0.237635
11,2,4,5,0.762365
11,2,5,2,0.237635
11,2,5,5,0.762365
21,2,1,2,0.237635
21,2,1,5,0.762365
21,2,2,2,0.27882
21,2,2,5,0.72118
21,2,3,2,0.27882
21,2,3,5,0.72118
21,2,4,2,0.237635
21,2,4,5,0.762365
21,2,5,2,0.237635
21,2,5,5,0.762365
31,2,1,2,0.237635
31,2,1,5,0.762365
31,2,2,2,0.27882
31,2,2,5,0.72118
31,2,3,2,0.27882
31,2,3,5,0.72118
31,2,4,2,0.237635
31,2,4,5,0.762365
31,2,5,2,0.237635
31,2,5,5,0.762365
32,2,1,2,0.237635
32,2,1,5,0.762365
32,2,2,2,0.27882
32,2,2,5,0.72118
32,2,3,2,0.27882
32,2,3,5,0.72118
32,2,4,2,0.237635
32,2,4,5,0.762365
32,2,5,2,0.237635
32,2,5,5,0.762365
41,2,1,2,0.237635
41,2,1,5,0.762365
41,2,2,2,0.27882
41,2,2,5,0.72118
41,2,3,2,0.27882
41,2,3,5,0.72118
41,2,4,2,0.237635
41,2,4,5,0.762365
41,2,5,2,0.237635
41,2,5,5,0.762365
42,2,1,2,0.237635
42,2,1,5,0.762365
42,2,2,2,0.27882
42,2,2,5,0.72118
42,2,3,2,0.27882
42,2,3,5,0.72118
42,2,4,2,0.237635
42,2,4,5,0.762365
42,2,5,2,0.237635
42,2,5,5,0.762365
43,2,1,2,0.237635
43,2,1,5,0.762365
43,2,2,2,0.27882
43,2,2,5,0.72118
43,2,3,2,0.27882
43,2,3,5,0.72118
43,2,4,2,0.237635
43,2,4,5,0.762365
43,2,5,2,0.237635
43,2,5,5,0.762365
51,2,1,2,0.237635
51,2,1,5,0.762365
51,2,2,2,0.27882
51,2,2,5,0.72118
51,2,3,2,0.27882
51,2,3,5,0.72118
51,2,4,2,0.237635
51,2,4,5,0.762365
51,2,5,2,0.237635
51,2,5,5,0.762365
52,2,1,2,0.237635
52,2,1,5,0.762365
52,2,2,2,0.27882
52,2,2,5,0.72118
52,2,3,2,0.27882
52,2,3,5,0.72118
52,2,4,2,0.237635
52,2,4,5,0.762365
52,2,5,2,0.237635
52,2,5,5,0.762365
53,2,1,2,0.237635
53,2,1,5,0.762365
53,2,2,2,0.27882
53,2,2,5,0.72118
53,2,3,2,0.27882
53,2,3,5,0.72118
53,2,4,2,0.237635
53,2,4,5,0.762365
53,2,5,2,0.237635
53,2,5,5,0.762365
54,2,1,2,0.237635
54,2,1,5,0.762365
54,2,2,2,0.27882
54,2,2,5,0.72118
54,2,3,2,0.27882
54,2,3,5,0.72118
54,2,4,2,0.237635
54,2,4,5,0.762365
54,2,5,2,0.237635
54,2,5,5,0.762365
61,2,1,2,0.237635
61,2,1,5,0.762365
61,2,2,2,0.27882
61,2,2,5,0.72118
61,2,3,2,0.27882
61,2,3,5,0.72118
61,2,4,2,0.237635
61,2,4,5,0.762365
61,2,5,2,0.237635
61,2,5,5,0.762365
62,2,1,2,0.237635
62,2,1,5,0.762365
62,2,2,2,0.27882
62,2,2,5,0.72118
62,2,3,2,0.27882
62,2,3,5,0.72118
62,2,4,2,0.237635
62,2,4,5,0.762365
62,2,5,2,0.237635
62,2,5,5,0.762365
11,3,1,2,0.237635
11,3,1,5,0.762365
11,3,2,2,0.27882
11,3,2,5,0.72118
11,3,3,2,0.27882
11,3,3,5,0.72118
11,3,4,2,0.237635
11,3,4,5,0.762365
11,3,5,2,0.237635
11,3,5,5,0.762365
21,3,1,2,0.237635
21,3,1,5,0.762365
21,3,2,2,0.27882
21,3,2,5,0.72118
21,3,3,2,0.27882
21,3,3,5,0.72118
21,3,4,2,0.237635
21,3,4,5,0.762365
21,3,5,2,0.237635
21,3,5,5,0.762365
31,3,1,2,0.237635
31,3,1,5,0.762365
31,3,2,2,0.27882
31,3,2,5,0.72118
31,3,3,2,0.27882
31,3,3,5,0.72118
31,3,4,2,0.237635
31,3,4,5,0.762365
31,3,5,2,0.237635
31,3,5,5,0.762365
32,3,1,2,0.237635
32,3,1,5,0.762365
32,3,2,2,0.27882
32,3,2,5,0.72118
32,3,3,2,0.27882
32,3,3,5,0.72118
32,3,4,2,0.237635
32,3,4,5,0.762365
32,3,5,2,0.237635
32,3,5,5,0.762365
41,3,1,2,0.237635
41,3,1,5,0.762365
41,3,2,2,0.27882
41,3,2,5,0.72118
41,3,3,2,0.27882
41,3,3,5,0.72118
41,3,4,2,0.237635
41,3,4,5,0.762365
41,3,5,2,0.237635
41,3,5,5,0.762365
42,3,1,2,0.237635
42,3,1,5,0.762365
42,3,2,2,0.27882
42,3,2,5,0.72118
42,3,3,2,0.27882
42,3,3,5,0.72118
42,3,4,2,0.237635
42,3,4,5,0.762365
42,3,5,2,0.237635
42,3,5,5,0.762365
43,3,1,2,0.237635
43,3,1,5,0.762365
43,3,2,2,0.27882
43,3,2,5,0.72118
43,3,3,2,0.27882
43,3,3,5,0.72118
43,3,4,2,0.237635
43,3,4,5,0.762365
43,3,5,2,0.237635
43,3,5,5,0.762365
51,3,1,2,0.237635
51,3,1,5,0.762365
51,3,2,2,0.27882
51,3,2,5,0.72118
51,3,3,2,0.27882
51,3,3,5,0.72118
51,3,4,2,0.237635
51,3,4,5,0.762365
51,3,5,2,0.237635
51,3,5,5,0.762365
52,3,1,2,0.237635
52,3,1,5,0.762365
52,3,2,2,0.27882
52,3,2,5,0.72118
52,3,3,2,0.27882
52,3,3,5,0.72118
52,3,4,2,0.237635
52,3,4,5,0.762365
52,3,5,2,0.237635
52,3,5,5,0.762365
53,3,1,2,0.237635
53,3,1,5,0.762365
53,3,2,2,0.27882
53,3,2,5,0.72118
53,3,3,2,0.27882
53,3,3,5,0.72118
53,3,4,2,0.237635
53,3,4,5,0.762365
53,3,5,2,0.237635
53,3,5,5,0.762365
54,3,1,2,0.237635
54,3,1,5,0.762365
54,3,2,2,0.27882
54,3,2,5,0.72118
54,3,3,2,0.27882
54,3,3,5,0.72118
54,3,4,2,0.237635
54,3,4,5,0.762365
54,3,5,2,0.237635
54,3,5,5,0.762365
61,3,1,2,0.237635
61,3,1,5,0.762365
61,3,2,2,0.27882
61,3,2,5,0.72118
61,3,3,2,0.27882
61,3,3,5,0.72118
61,3,4,2,0.237635
61,3,4,5,0.762365
61,3,5,2,0.237635
61,3,5,5,0.762365
62,3,1,2,0.237635
62,3,1,5,0.762365
62,3,2,2,0.27882
62,3,2,5,0.72118
62,3,3,2,0.27882
62,3,3,5,0.72118
62,3,4,2,0.237635
62,3,4,5,0.762365
62,3,5,2,0.237635
62,3,5,5,0.762365
11,4,1,2,0.237635
11,4,1,5,0.762365
11,4,2,2,0.27882
11,4,2,5,0.72118
11,4,3,2,0.27882
11,4,3,5,0.72118
11,4,4,2,0.237635
11,4,4,5,0.762365
11,4,5,2,0.237635
11,4,5,5,0.762365
21,4,1,2,0.237635
21,4,1,5,0.762365
21,4,2,2,0.27882
21,4,2,5,0.72118
21,4,3,2,0.27882
21,4,3,5,0.72118
21,4,4,2,0.237635
21,4,4,5,0.762365
21,4,5,2,0.237635
21,4,5,5,0.762365
31,4,1,2,0.237635
31,4,1,5,0.762365
31,4,2,2,0.27882
31,4,2,5,0.72118
31,4,3,2,0.27882
31,4,3,5,0.72118
31,4,4,2,0.237635
31,4,4,5,0.762365
31,4,5,2,0.237635
31,4,5,5,0.762365
32,4,1,2,0.237635
32,4,1,5,0.762365
32,4,2,2,0.27882
32,4,2,5,0.72118
32,4,3,2,0.27882
32,4,3,5,0.72118
32,4,4,2,0.237635
32,4,4,5,0.762365
32,4,5,2,0.237635
32,4,5,5,0.762365
41,4,1,2,0.237635
41,4,1,5,0.762365
41,4,2,2,0.27882
41,4,2,5,0.72118
41,4,3,2,0.27882
41,4,3,5,0.72118
41,4,4,2,0.237635
41,4,4,5,0.762365
41,4,5,2,0.237635
41,4,5,5,0.762365
42,4,1,2,0.237635
42,4,1,5,0.762365
42,4,2,2,0.27882
42,4,2,5,0.72118
42,4,3,2,0.27882
42,4,3,5,0.72118
42,4,4,2,0.237635
42,4,4,5,0.762365
42,4,5,2,0.237635
42,4,5,5,0.762365
43,4,1,2,0.237635
43,4,1,5,0.762365
43,4,2,2,0.27882
43,4,2,5,0.72118
43,4,3,2,0.27882
43,4,3,5,0.72118
43,4,4,2,0.237635
43,4,4,5,0.762365
43,4,5,2,0.237635
43,4,5,5,0.762365
51,4,1,2,0.237635
51,4,1,5,0.762365
51,4,2,2,0.27882
51,4,2,5,0.72118
51,4,3,2,0.27882
51,4,3,5,0.72118
51,4,4,2,0.237635
51,4,4,5,0.762365
51,4,5,2,0.237635
51,4,5,5,0.762365
52,4,1,2,0.237635
52,4,1,5,0.762365
52,4,2,2,0.27882
52,4,2,5,0.72118
52,4,3,2,0.27882
52,4,3,5,0.72118
52,4,4,2,0.237635
52,4,4,5,0.762365
52,4,5,2,0.237635
52,4,5,5,0.762365
53,4,1,2,0.237635
53,4,1,5,0.762365
53,4,2,2,0.27882
53,4,2,5,0.72118
53,4,3,2,0.27882
53,4,3,5,0.72118
53,4,4,2,0.237635
53,4,4,5,0.762365
53,4,5,2,0.237635
53,4,5,5,0.762365
54,4,1,2,0.237635
54,4,1,5,0.762365
54,4,2,2,0.27882
54,4,2,5,0.72118
54,4,3,2,0.27882
54,4,3,5,0.72118
54,4,4,2,0.237635
54,4,4,5,0.762365
54,4,5,2,0.237635
54,4,5,5,0.762365
61,4,1,2,0.237635
61,4,1,5,0.762365
61,4,2,2,0.27882
61,4,2,5,0.72118
61,4,3,2,0.27882
61,4,3,5,0.72118
61,4,4,2,0.237635
61,4,4,5,0.762365
61,4,5,2,0.237635
61,4,5,5,0.762365
62,4,1,2,0.237635
62,4,1,5,0.762365
62,4,2,2,0.27882
62,4,2,5,0.72118
62,4,3,2,0.27882
62,4,3,5,0.72118
62,4,4,2,0.237635
62,4,4,5,0.762365
62,4,5,2,0.237635
62,4,5,5,0.762365
11,5,1,2,0.237635
11,5,1,5,0.762365
11,5,2,2,0.27882
11,5,2,5,0.72118
11,5,3,2,0.27882
11,5,3,5,0.72118
11,5,4,2,0.237635
11,5,4,5,0.762365
11,5,5,2,0.237635
11,5,5,5,0.762365
21,5,1,2,0.237635
21,5,1,5,0.762365
21,5,2,2,0.27882
21,5,2,5,0.72118
21,5,3,2,0.27882
21,5,3,5,0.72118
21,5,4,2,0.237635
21,5,4,5,0.762365
21,5,5,2,0.237635
21,5,5,5,0.762365
31,5,1,2,0.237635
31,5,1,5,0.762365
31,5,2,2,0.27882
31,5,2,5,0.72118
31,5,3,2,0.27882
31,5,3,5,0.72118
31,5,4,2,0.237635
31,5,4,5,0.762365
31,5,5,2,0.237635
31,5,5,5,0.762365
32,5,1,2,0.237635
32,5,1,5,0.762365
32,5,2,2,0.27882
32,5,2,5,0.72118
32,5,3,2,0.27882
32,5,3,5,0.72118
32,5,4,2,0.237635
32,5,4,5,0.762365
32,5,5,2,0.237635
32,5,5,5,0.762365
41,5,1,2,0.237635
41,5,1,5,0.762365
41,5,2,2,0.27882
41,5,2,5,0.72118
41,5,3,2,0.27882
41,5,3,5,0.72118
41,5,4,2,0.237635
41,5,4,5,0.762365
41,5,5,2,0.237635
41,5,5,5,0.762365
42,5,1,2,0.237635
42,5,1,5,0.762365
42,5,2,2,0.27882
42,5,2,5,0.72118
42,5,3,2,0.27882
42,5,3,5,0.72118
42,5,4,2,0.237635
42,5,4,5,0.762365
42,5,5,2,0.237635
42,5,5,5,0.762365
43,5,1,2,0.237635
43,5,1,5,0.762365
43,5,2,2,0.27882
43,5,2,5,0.72118
43,5,3,2,0.27882
43,5,3,5,0.72118
43,5,4,2,0.237635
43,5,4,5,0.762365
43,5,5,2,0.237635
43,5,5,5,0.762365
51,5,1,2,0.237635
51,5,1,5,0.762365
51,5,2,2,0.27882
51,5,2,5,0.72118
51,5,3,2,0.27882
51,5,3,5,0.72118
51,5,4,2,0.237635
51,5,4,5,0.762365
51,5,5,2,0.237635
51,5,5,5,0.762365
52,5,1,2,0.237635
52,5,1,5,0.762365
52,5,2,2,0.27882
52,5,2,5,0.72118
52,5,3,2,0.27882
52,5,3,5,0.72118
52,5,4,2,0.237635
52,5,4,5,0.762365
52,5,5,2,0.237635
52,5,5,5,0.762365
53,5,1,2,0.237635
53,5,1,5,0.762365
53,5,2,2,0.27882
53,5,2,5,0.72118
53,5,3,2,0.27882
53,5,3,5,0.72118
53,5,4,2,0.237635
53,5,4,5,0.762365
53,5,5,2,0.237635
53,5,5,5,0.762365
54,5,1,2,0.237635
54,5,1,5,0.762365
54,5,2,2,0.27882
54,5,2,5,0.72118
54,5,3,2,0.27882
54,5,3,5,0.72118
54,5,4,2,0.237635
54,5,4,5,0.762365
54,5,5,2,0.237635
54,5,5,5,0.762365
61,5,1,2,0.237635
61,5,1,5,0.762365
61,5,2,2,0.27882
61,5,2,5,0.72118
61,5,3,2,0.27882
61,5,3,5,0.72118
61,5,4,2,0.237635
61,5,4,5,0.762365
61,5,5,2,0.237635
61,5,5,5,0.762365
62,5,1,2,0.237635
62,5,1,5,0.762365
62,5,2,2,0.27882
62,5,2,5,0.72118
62,5,3,2,0.27882
62,5,3,5,0.72118
62,5,4,2,0.237635
62,5,4,5,0.762365
62,5,5,2,0.237635
62,5,5,5,0.762365
11,6,1,2,0.237635
11,6,1,5,0.762365
11,6,2,2,0.27882
11,6,2,5,0.72118
11,6,3,2,0.27882
11,6,3,5,0.72118
11,6,4,2,0.237635
11,6,4,5,0.762365
11,6,5,2,0.237635
